DOWLKNUM,SiteID,Date_Time,Water_Temp_C,Depth_m,Depth_std,FlagG,FlagS,FlagR,FlagF,String,FlagV
16007700,10321986,2017-02-01 00:00,1.453,8.5,0,P,P,P,S,Primary,P
16007700,10321986,2017-02-01 01:00,1.453,8.5,0,P,P,P,S,Primary,P
16007700,10321986,2017-02-01 02:00,1.453,8.5,0,P,P,P,S,Primary,P
16007700,10321986,2017-02-01 03:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 04:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 05:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 06:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 07:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 08:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 09:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 10:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 11:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 12:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 13:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 14:00,1.453,8.5,0,P,P,P,F,Primary,P
16007700,10321986,2017-02-01 15:00,1.48,8.5,0,P,P,S,P,Primary,P
16007700,10321986,2017-02-01 16:00,1.48,8.5,0,P,P,P,P,Primary,P
16007700,10321986,2017-02-01 17:00,1.48,8.5,0,P,P,P,P,Primary,P
16007700,10321986,2017-02-01 18:00,1.453,8.5,0,P,P,S,P,Primary,P
16007700,10321986,2017-02-01 19:00,1.48,8.5,0,P,P,P,P,Primary,P
16007700,10321986,2017-02-01 20:00,1.48,8.5,0,P,P,P,P,Primary,P
16007700,10321986,2017-02-01 21:00,1.48,8.5,0,P,P,P,P,Primary,P
