"Contour_Depth","Area"
-30,5346.3115234375
-29,19384.765625
-28,36251.5012207031
-27,54904.8864746094
-26,72312.1066894531
-25,155466.820556641
-24,300327.081542969
-23,380691.079101562
-22,466916.047119141
-21,594851.303955078
-20,694612.477539062
-19,822113.346191406
-18,1091015.01782227
-17,1287089.26513672
-16,1463554.75195312
-15,1751715.29931641
-14,2062303.13061523
-13,2421447.60302734
-12,2949541.25634766
-11,3244896.78808594
-10,3564330.90869141
-9,4264894.05810547
-8,4587543.53955078
-7,4948989.16870117
-6,5632433.97851562
-5,6096658.34228516
-4,6595766.91430664
-3,7599207.40161133
-2,7941099.04394531
-1,8338421.03686523
0,8658739.77246094
