"","Date","Depth","Measurement"
"1",2017-01-19,2,0.960705882352941
"2",2017-01-19,3,1.071
"3",2017-01-19,4,1.0985
"4",2017-01-19,5,1.1395
"5",2017-01-19,6,1.18447058823529
"6",2017-01-19,7,1.2525
"7",2017-01-19,8,1.33241176470588
"8",2017-01-19,9,1.39805882352941
"9",2017-01-19,10,1.44538235294118
"10",2017-01-19,11,1.48473529411765
"11",2017-01-19,12,1.55785294117647
"12",2017-01-19,13,1.64785294117647
"13",2017-01-19,14,1.71026470588235
"14",2017-01-19,15,1.74425
"15",2017-01-19,16,1.74980882352941
"16",2017-01-19,17,1.78554411764706
"17",2017-01-19,18,1.85145588235294
"18",2017-01-19,19,1.89830882352941
"19",2017-01-19,20,1.92610294117647
"20",2017-01-19,21,1.913
"21",2017-01-19,22,1.859
"22",2017-01-19,23,1.90758823529412
"23",2017-01-19,24,2.05876470588235
"24",2017-01-19,25,2.16205882352941
"25",2017-01-19,26,2.21747058823529
"26",2017-01-19,27,2.32988235294118
"27",2017-01-19,28,2.49929411764706
"28",2017-01-20,2,0.96675
"29",2017-01-20,3,1.07625
"30",2017-01-20,4,1.0990625
"31",2017-01-20,5,1.1400625
"32",2017-01-20,6,1.18725
"33",2017-01-20,7,1.2546875
"34",2017-01-20,8,1.3350625
"35",2017-01-20,9,1.41408333333333
"36",2017-01-20,10,1.46239583333333
"37",2017-01-20,11,1.4906875
"38",2017-01-20,12,1.56627083333333
"39",2017-01-20,13,1.6616875
"40",2017-01-20,14,1.72497916666667
"41",2017-01-20,15,1.76140625
"42",2017-01-20,16,1.77096875
"43",2017-01-20,17,1.8033125
"44",2017-01-20,18,1.8584375
"45",2017-01-20,19,1.8995
"46",2017-01-20,20,1.9265
"47",2017-01-20,21,1.913
"48",2017-01-20,22,1.859
"49",2017-01-20,23,1.91190625
"50",2017-01-20,24,2.07171875
"51",2017-01-20,25,2.17921875
"52",2017-01-20,26,2.23440625
"53",2017-01-20,27,2.34520833333333
"54",2017-01-20,28,2.511625
"55",2017-01-21,2,0.9731875
"56",2017-01-21,3,1.08383333333333
"57",2017-01-21,4,1.09964583333333
"58",2017-01-21,5,1.14175
"59",2017-01-21,6,1.1934375
"60",2017-01-21,7,1.26091666666667
"61",2017-01-21,8,1.34129166666667
