"datetime","wtr_1.5","wtr_2.5","wtr_3.5","wtr_4.5","wtr_5.5","wtr_6.5","wtr_7.5","wtr_8.5","wtr_9.5","wtr_10.5","wtr_11.5","wtr_12.5","wtr_14.5","wtr_16.5","wtr_18.5","wtr_20.5","wtr_22.5","wtr_24.5","wtr_26.5","wtr_28.5"
"2017-01-19 07:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.453,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 08:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.751,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 09:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.48,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 10:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 11:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 12:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 13:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 14:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.371,1.425,1.48,1.507,1.615,1.724,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 15:00:00",0.852,1.071,1.071,1.126,1.153,1.208,1.289,1.398,1.398,1.48,1.507,1.615,1.751,1.751,1.886,1.94,1.832,2.128,2.236,2.584
"2017-01-19 16:00:00",0.852,1.071,1.071,1.126,1.153,1.235,1.289,1.398,1.48,1.48,1.507,1.615,1.751,1.751,1.886,1.94,1.832,2.128,2.236,2.584
