"Date","Stratified_1"
2018-07-11,TRUE
2018-07-12,TRUE
2018-07-13,TRUE
2018-07-14,TRUE
2018-07-15,TRUE
2018-07-16,TRUE
2018-07-17,TRUE
2018-07-18,TRUE
2018-07-19,TRUE
2018-07-20,TRUE
2018-07-21,TRUE
2018-07-22,TRUE
2018-07-23,TRUE
2018-07-24,TRUE
2018-07-25,TRUE
2018-07-26,TRUE
2018-07-27,TRUE
2018-07-28,TRUE
2018-07-29,TRUE
2018-07-30,TRUE
2018-07-31,TRUE
2018-08-01,TRUE
2018-08-02,TRUE
2018-08-03,TRUE
2018-08-04,TRUE
2018-08-05,TRUE
2018-08-06,TRUE
2018-08-07,TRUE
2018-08-08,TRUE
2018-08-09,TRUE
2018-08-10,TRUE
2018-08-11,TRUE
2018-08-12,TRUE
2018-08-13,TRUE
2018-08-14,TRUE
2018-08-15,TRUE
2018-08-16,TRUE
2018-08-17,TRUE
2018-08-18,TRUE
2018-08-19,TRUE
2018-08-20,TRUE
2018-08-21,TRUE
2018-08-22,TRUE
2018-08-23,TRUE
2018-08-24,TRUE
2018-08-25,TRUE
2018-08-26,TRUE
2018-08-27,TRUE
2018-08-28,TRUE
2018-08-29,TRUE
2018-08-30,TRUE
2018-08-31,TRUE
2018-09-01,TRUE
2018-09-02,TRUE
2018-09-03,TRUE
2018-09-04,TRUE
2018-09-05,TRUE
2018-09-06,TRUE
2018-09-07,TRUE
2018-09-08,TRUE
2018-09-09,TRUE
2018-09-10,TRUE
2018-09-11,TRUE
2018-09-12,TRUE
2018-09-13,TRUE
2018-09-14,TRUE
2018-09-15,TRUE
2018-09-16,TRUE
2018-09-17,TRUE
2018-09-18,TRUE
2018-09-19,TRUE
2018-09-20,TRUE
2018-09-21,TRUE
2018-09-22,FALSE
2018-09-23,FALSE
2018-09-24,FALSE
2018-09-25,FALSE
2018-09-26,FALSE
2018-09-27,FALSE
2018-09-28,FALSE
2018-09-29,FALSE
2018-09-30,FALSE
2018-10-01,FALSE
2018-10-02,FALSE
2018-10-03,FALSE
2018-10-04,FALSE
2018-10-05,FALSE
2018-10-06,FALSE
2018-10-07,FALSE
2018-10-08,FALSE
2018-10-09,FALSE
2018-10-10,FALSE
2018-10-11,FALSE
2018-10-12,FALSE
2018-10-13,FALSE
2018-10-14,FALSE
2018-10-15,FALSE
2018-10-16,FALSE
2018-10-17,FALSE
2018-10-18,FALSE
2018-10-19,FALSE
2018-10-20,FALSE
2018-10-21,FALSE
2018-10-22,FALSE
2018-10-23,FALSE
2018-10-24,FALSE
2018-10-25,FALSE
2018-10-26,FALSE
2018-10-27,FALSE
2018-10-28,FALSE
2018-10-29,FALSE
2018-10-30,FALSE
2018-10-31,FALSE
2018-11-01,FALSE
2018-11-02,FALSE
2018-11-03,FALSE
2018-11-04,FALSE
2018-11-05,FALSE
2018-11-06,FALSE
2018-11-07,FALSE
2018-11-08,FALSE
2018-11-09,FALSE
2018-11-10,FALSE
2018-11-11,FALSE
2018-11-12,FALSE
2018-11-13,FALSE
2018-11-14,FALSE
2018-11-15,FALSE
2018-11-16,FALSE
2018-11-17,FALSE
2018-11-18,FALSE
2018-11-19,FALSE
2018-11-20,FALSE
2018-11-21,FALSE
2018-11-22,FALSE
2018-11-23,FALSE
2018-11-24,FALSE
2018-11-25,FALSE
2018-11-26,FALSE
2018-11-27,FALSE
2018-11-28,FALSE
2018-11-29,FALSE
2018-11-30,FALSE
2018-12-01,FALSE
2018-12-02,FALSE
2018-12-03,FALSE
2018-12-04,FALSE
2018-12-05,FALSE
2018-12-06,FALSE
2018-12-07,FALSE
2018-12-08,FALSE
2018-12-09,FALSE
2018-12-10,FALSE
2018-12-11,FALSE
2018-12-12,FALSE
2018-12-13,FALSE
2018-12-14,FALSE
2018-12-15,FALSE
2018-12-16,FALSE
2018-12-17,FALSE
2018-12-18,FALSE
2018-12-19,FALSE
2018-12-20,FALSE
2018-12-21,FALSE
2018-12-22,FALSE
2018-12-23,FALSE
