"TimeFrame_Name","TimeFrame_Value","Depth","n","ndays","mean","median","min","max","range","sd","var","cv","q01","q05","q10","q25","q50","q75","q90","q95","q99","n_below_2"
"AllData","AllData",1,841,841,11.4834692117138,10.0444166666667,1.099,26.6210416666667,25.5220416666667,9.0194049217562,81.3496651425999,0.785425097195881,1.152325,1.263125,1.40383333333333,2.147125,10.0444166666667,20.6117916666667,24.092375,24.6800833333333,25.4918416666667,198
"AllData","AllData",2,841,841,11.8224043545535,9.96583333333333,1.882625,25.463875,23.58125,8.33333015206196,69.4443914232651,0.704876089680718,2.0448,2.468,2.717,3.847,9.96583333333333,19.9826666666667,23.7300833333333,24.3565416666667,25.099175,7
"AllData","AllData",3,841,841,11.8487571541815,10.0320833333333,2.02833333333333,25.0859166666667,23.0575833333333,8.0244460025068,64.3917336471473,0.677239468923954,2.1622,2.81758333333333,3.231125,4.238375,10.0320833333333,19.5445,23.41075,24.1275,24.7356166666667,0
"AllData","AllData",4,841,841,11.5800130285984,9.999375,2.06195833333333,24.5228,22.4608416666667,7.57979346348779,57.4532689491322,0.65455828458642,2.31755833333333,3.0405,3.654375,4.34133333333333,9.999375,18.9826666666667,22.549875,23.111,23.8876583333333,0
"AllData","AllData",5,841,841,11.0705791175036,9.72054166666667,2.117875,23.4143333333333,21.2964583333333,6.89304718994122,47.5140995627566,0.62264558310619,2.5201,3.39975,4.173,4.37491666666667,9.72054166666667,18.19,21.0040416666667,21.7427083333333,23.12725,0
"AllData","AllData",6,841,841,10.3177356154151,9.505875,2.174125,22.0469583333333,19.8728333333333,6.00498181500078,36.05980659849,0.58200578487678,2.74556666666667,3.83933333333333,4.25358333333333,4.38466666666667,9.505875,16.2235833333333,18.4961666666667,20.183,21.2239916666667,0
"AllData","AllData",7,841,841,9.49722774093722,9.33116666666667,2.124625,19.5345416666667,17.4099166666667,5.10479423176634,26.0589241486749,0.537503613792732,2.81180833333333,3.97358333333333,4.1555,4.43883333333333,9.33116666666667,14.553875,16.167875,17.9304166666667,18.882225,0
"AllData","AllData",8,841,841,9.11234860971371,9.29925,2.235625,18.389125,16.1535,4.49972212887469,20.2474992370846,0.493804870906499,3.15205833333333,4.06504166666667,4.37383333333333,4.5905,9.29925,13.6707916666667,14.7827083333333,16.0061666666667,17.4839333333333,0
"AllData","AllData",9,841,841,8.76774125583097,9.08904166666667,2.19408333333333,18.27225,16.0781666666667,4.17926472677302,17.4662536564492,0.476663784300616,3.28629166666667,4.05541666666667,4.32725,4.52983333333333,9.08904166666667,13.0260833333333,13.811,14.6848333333333,16.3342833333333,0
"AllData","AllData",10,841,841,8.75609668358791,9.082,2.35954166666667,18.3385833333333,15.9790416666667,4.03667352326948,16.2947331334649,0.461012899827347,3.55985,4.22975,4.4475,4.64466666666667,9.082,12.9086666666667,13.672,14.3912916666667,16.2603333333333,0
"Year","2018",1,174,174,13.5247561781609,15.0333541666667,1.407,25.5082916666667,24.1012916666667,9.39601977968175,88.2851877001708,0.694727480178457,1.44020166666667,1.81661666666667,1.886,2.19492708333333,15.0333541666667,23.248875,24.3355916666667,24.7578708333333,25.3941816666667,27
"Year","2018",2,174,174,13.4693962643678,14.7913333333333,1.882625,25.2787083333333,23.3960833333333,9.17896876233347,84.2534675398936,0.681468462444429,1.9281425,2.05087291666667,2.1600625,2.47519791666667,14.7913333333333,23.11009375,24.0961375,24.5056570833333,25.0873983333333,7
"Year","2018",3,174,174,13.4886289272031,14.7639375,2.02833333333333,24.95375,22.9254166666667,8.99209236746067,80.8577251449444,0.666642430152849,2.07437125,2.1667,2.423675,2.87428125,14.7639375,22.9633958333333,23.9790333333333,24.3474125,24.82711125,0
"Year","2018",4,174,174,13.4184279693487,14.6782083333333,2.06195833333333,24.5228,22.4608416666667,8.75040592204959,76.5696038006406,0.652118559792392,2.117695,2.33048541666667,2.6469125,3.25780208333333,14.6782083333333,22.60534375,23.6856583333333,23.88585625,24.30132375,0
"Year","2018",5,174,174,13.2464321360153,14.63925,2.117875,23.4143333333333,21.2964583333333,8.24704696082327,68.0137835740243,0.622586284075742,2.1865675,2.52469375,3.00159166666667,4.21127083333333,14.63925,21.6889895833333,22.9189583333333,23.1254791666667,23.3354108333333,0
"Year","2018",6,174,174,12.5518408045977,14.5499583333333,2.174125,22.0469583333333,19.8728333333333,7.36131765713665,54.1889976492719,0.586473153359325,2.25922583333333,2.77248333333333,3.40261666666667,4.29014583333333,14.5499583333333,20.1598229166667,21.0744,21.2192729166667,21.50156,0
"Year","2018",7,174,174,11.2230504789272,14.4091875,2.124625,19.5345416666667,17.4099166666667,6.09187228289099,37.1109079110555,0.542800043030129,2.27278083333333,3.16485208333333,3.7249,4.115,14.4091875,16.2688541666667,18.60385,18.8770270833333,19.1021279166667,0
"Year","2018",8,174,174,10.2913167624521,13.559625,2.235625,18.389125,16.1535,5.09364647483042,25.9452344105523,0.494946039695775,2.490225,3.46637083333333,3.985,4.23210416666667,13.559625,14.3130208333333,15.9016291666667,16.3539541666667,17.78431375,0
"Year","2018",9,174,174,9.79777974137931,12.8889583333333,2.19408333333333,18.27225,16.0781666666667,4.67520696116251,21.8575601297024,0.477170041026494,2.51073666666667,3.57316458333333,3.95657916666667,4.24596875,12.8889583333333,13.393625,14.1132958333333,15.9744354166667,16.9604616666667,0
"Year","2018",10,174,174,9.80097365900383,12.8085208333333,2.35954166666667,18.3385833333333,15.9790416666667,4.53417048723029,20.5587020072702,0.462624494767915,2.66685416666667,3.85847708333333,4.15538333333333,4.38927083333333,12.8085208333333,13.2455,13.9969625,15.7251208333333,16.8644491666667,0
"Year","2019",1,365,365,10.0227729452055,8.36283333333333,1.099,25.648,24.549,8.68883102233907,75.4957845347619,0.866908895356697,1.1062,1.246475,1.398,1.661,8.36283333333333,18.3147916666667,23.4498666666667,24.2954083333333,25.4067133333333,109
"Year","2019",2,365,365,10.4652075342466,7.89604166666667,2.503,25.463875,22.960875,8.02595095103956,64.4158886684928,0.76691751451419,2.52136,2.6325,2.717,3.301,7.89604166666667,18.0770416666667,23.2181416666667,23.982575,24.976375,0
"Year","2019",3,365,365,10.6420035388128,7.99395833333333,2.77225,25.0859166666667,22.3136666666667,7.65894523086846,58.6594420494428,0.719690160122131,2.81649833333333,3.04095,3.24336666666667,4.07841666666667,7.99395833333333,17.657875,22.97,23.6519083333333,24.6332416666667,0
"Year","2019",4,365,365,10.505074086758,7.49066666666667,2.797,23.8752083333333,21.0782083333333,7.20273866276308,51.879444244062,0.685643775881826,2.84127833333333,3.23921666666667,3.72894166666667,4.31316666666667,7.49066666666667,17.05525,22.1860916666667,22.61975,23.6354916666667,0
"Year","2019",5,365,365,10.1186668949772,7.50641666666667,2.830875,21.7709583333333,18.9400833333333,6.48481465515933,42.0528211117693,0.640876384455184,2.903595,3.88231666666667,4.23790833333333,4.35433333333333,7.50641666666667,16.6076666666667,19.4745833333333,21.0656166666667,21.526785,0
"Year","2019",6,365,365,9.56495091324201,7.354375,2.85445833333333,20.0085416666667,17.1540833333333,5.70710873423767,32.5710901044119,0.596668899401938,2.94773,4.15708333333333,4.25445,4.34675,7.354375,15.902875,17.1690583333333,18.5928,19.79003,0
"Year","2019",7,365,365,9.02604726027397,7.03779166666667,2.80341666666667,18.7456666666667,15.94225,5.00600041192479,25.0600401241912,0.554617128358892,3.019415,4.1072,4.20635,4.389,7.03779166666667,14.5429166666667,15.4611666666667,16.0857833333333,18.156315,0
"Year","2019",8,365,365,8.83537831050228,6.985625,2.90220833333333,17.3317916666667,14.4295833333333,4.57180742599783,20.9014231404089,0.517443313158815,3.50003833333333,4.21458333333333,4.42496666666667,4.55041666666667,6.985625,13.776875,14.339025,15.6121666666667,16.7364866666667,0
"Year","2019",9,365,365,8.56887420091324,6.770875,2.80333333333333,16.8984583333333,14.095125,4.33598007746746,18.8007232321947,0.506015139889128,3.69724833333333,4.27026666666667,4.34328333333333,4.47133333333333,6.770875,13.3090416666667,13.773,14.9192083333333,15.9946733333333,0
"Year","2019",10,365,365,8.60592420091324,6.69795833333333,3.00708333333333,16.5959583333333,13.588875,4.23387474022838,17.9256953159439,0.491972116112653,3.85491333333333,4.38726666666667,4.49711666666667,4.62408333333333,6.69795833333333,13.234,13.6776,14.6988833333333,16.021215,0
"Year","2020",1,302,302,12.0727745266599,11.5369791666667,1.1305,26.6210416666667,25.4905416666667,8.92404797308829,79.6386322259812,0.739187827403024,1.1644075,1.24405625,1.30068333333333,2.3026875,11.5369791666667,20.2687604166667,24.3533583333333,24.9664020833333,25.8111566666667,62
"Year","2020",2,302,302,12.5137959012566,11.4681875,3.7945,25.2759583333333,21.4814583333333,7.94946236290572,63.1939518592546,0.635255874846694,3.84715291666667,3.97580208333333,3.991375,4.132375,11.4681875,19.2802395833333,23.9368958333333,24.45984375,25.0551166666667,0
"Year","2020",3,302,302,12.3624239790287,11.3861666666667,3.94420833333333,24.8115833333333,20.867375,7.66176577278825,58.7026547570696,0.61976241761207,4.06979708333333,4.11641875,4.206025,4.3565,11.3861666666667,18.8265625,23.4314708333333,24.1438479166667,24.7179883333333,0
"Year","2020",4,302,302,11.8199749957548,10.7639375,3.94966666666667,23.5759583333333,19.6262916666667,7.08347521667848,50.1756211452982,0.599280050864959,4.07410875,4.14973958333333,4.2629,4.37275,10.7639375,18.3430416666667,22.1527541666667,22.6294833333333,23.3796370833333,0
"Year","2020",5,302,302,10.9674318857191,10.414125,3.95833333333333,21.8487083333333,17.890375,6.22941916904808,38.8056631837037,0.567992510366944,4.0894725,4.19590833333333,4.29810833333333,4.37952083333333,10.414125,16.569625,19.4657166666667,20.85095625,21.2954583333333,0
"Year","2020",6,302,302,9.94035850738665,9.62708333333333,3.951875,19.4395833333333,15.4877083333333,5.13645753598782,26.3831960190061,0.51672759409743,4.08626333333333,4.30211666666667,4.35660833333333,4.42366666666667,9.62708333333333,14.6190625,17.0221708333333,18.1361375,18.9449325,0
"Year","2020",7,302,302,9.07235263839362,9.3825625,3.880875,18.3692916666667,14.4884166666667,4.34922803269084,18.9157844803439,0.479393626553403,4.0133725,4.21687291666667,4.28305,4.48216666666667,9.3825625,12.51815625,14.7539625,16.8531,18.1045341666667,0
"Year","2020",8,302,302,8.76782443963321,9.30077083333333,3.96491666666667,18.0165833333333,14.0516666666667,3.91162980666137,15.3008477443617,0.446134595143081,4.09612208333333,4.48980416666667,4.557025,4.6319375,9.30077083333333,11.6782083333333,14.5445,15.422125,17.66290875,0
"Year","2020",9,302,302,8.41462793980302,9.0545,3.8525,16.5234583333333,12.6709583333333,3.55784210641518,12.6582404541808,0.42281633030806,3.98389833333333,4.4551375,4.51044166666667,4.584,9.0545,11.2058958333333,13.3369208333334,14.5310895833333,16.24754375,0
"Year","2020",10,302,302,8.33558132747495,9.04533333333333,3.9355,15.2385,11.303,3.33827330328583,11.1440686474309,0.40048476190647,4.06688416666667,4.54624583333333,4.61065,4.688,9.04533333333333,11.1848854166667,12.2666083333333,14.3195645833333,14.6006158333333,0
