"Date","Depth","Measurement"
2017-01-19,2,0.960705882352941
2017-01-19,3,1.071
2017-01-19,4,1.0985
2017-01-19,5,1.1395
2017-01-19,6,1.18447058823529
2017-01-19,7,1.2525
2017-01-19,8,1.33241176470588
2017-01-19,9,1.39805882352941
2017-01-19,10,1.44538235294118
2017-01-19,11,1.48473529411765
2017-01-19,12,1.55785294117647
2017-01-19,13,1.64785294117647
2017-01-19,14,1.71026470588235
2017-01-19,15,1.74425
2017-01-19,16,1.74980882352941
2017-01-19,17,1.78554411764706
2017-01-19,18,1.85145588235294
2017-01-19,19,1.89830882352941
2017-01-19,20,1.92610294117647
2017-01-19,21,1.913
2017-01-19,22,1.859
2017-01-19,23,1.90758823529412
2017-01-19,24,2.05876470588235
2017-01-19,25,2.16205882352941
2017-01-19,26,2.21747058823529
2017-01-19,27,2.32988235294118
2017-01-19,28,2.49929411764706
2017-01-20,2,0.96675
2017-01-20,3,1.07625
2017-01-20,4,1.0990625
2017-01-20,5,1.1400625
2017-01-20,6,1.18725
2017-01-20,7,1.2546875
2017-01-20,8,1.3350625
2017-01-20,9,1.41408333333333
2017-01-20,10,1.46239583333333
2017-01-20,11,1.4906875
2017-01-20,12,1.56627083333333
2017-01-20,13,1.6616875
2017-01-20,14,1.72497916666667
2017-01-20,15,1.76140625
2017-01-20,16,1.77096875
2017-01-20,17,1.8033125
2017-01-20,18,1.8584375
2017-01-20,19,1.8995
2017-01-20,20,1.9265
2017-01-20,21,1.913
2017-01-20,22,1.859
2017-01-20,23,1.91190625
2017-01-20,24,2.07171875
2017-01-20,25,2.17921875
2017-01-20,26,2.23440625
2017-01-20,27,2.34520833333333
2017-01-20,28,2.511625
2017-01-21,2,0.9731875
2017-01-21,3,1.08383333333333
2017-01-21,4,1.09964583333333
2017-01-21,5,1.14175
2017-01-21,6,1.1934375
2017-01-21,7,1.26091666666667
2017-01-21,8,1.34129166666667
2017-01-21,9,1.4198125
2017-01-21,10,1.4630625
2017-01-21,11,1.4929375
2017-01-21,12,1.5811875
2017-01-21,13,1.6851875
2017-01-21,14,1.7470625
2017-01-21,15,1.778
2017-01-21,16,1.778
2017-01-21,17,1.805
2017-01-21,18,1.859
2017-01-21,19,1.8995
2017-01-21,20,1.9265
2017-01-21,21,1.91271875
2017-01-21,22,1.85815625
2017-01-21,23,1.91190625
2017-01-21,24,2.07396875
2017-01-21,25,2.18175
2017-01-21,26,2.23525
2017-01-21,27,2.34901041666667
2017-01-21,28,2.52303125
2017-01-22,2,0.9726875
2017-01-22,3,1.08966666666667
2017-01-22,4,1.10597916666667
2017-01-22,5,1.149625
2017-01-22,6,1.2013125
2017-01-22,7,1.2678125
2017-01-22,8,1.3493125
2017-01-22,9,1.42375
2017-01-22,10,1.468125
2017-01-22,11,1.499125
2017-01-22,12,1.5879375
2017-01-22,13,1.693625
2017-01-22,14,1.752125
2017-01-22,15,1.7819375
2017-01-22,16,1.7830625
2017-01-22,17,1.81203125
2017-01-22,18,1.86884375
2017-01-22,19,1.9079375
2017-01-22,20,1.9293125
2017-01-22,21,1.913
2017-01-22,22,1.859
2017-01-22,23,1.91275
2017-01-22,24,2.07425
2017-01-22,25,2.182875
2017-01-22,26,2.238625
